NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
10X GENOMICS INC-CLASS A,Common Stock,88025U109,"8,271","45,695",SH,,SOLE,,"42,925",0,"2,770"
1-800-FLOWERS.COM INC,Common Stock,68243Q106,"3,502","126,834",SH,,SOLE,,"74,851",0,"51,983"
1Life Healthcare Inc,Common Stock,68269G107,"1,864","47,704",SH,,SOLE,,"46,890",0,814
1ST BUS FINL SVCS INC COM,Common Stock,319390100,700,"28,314",SH,,SOLE,,"4,289",0,"24,025"
1ST SOURCE CORP,Common Stock,336901103,"1,684","35,390",SH,,SOLE,,"24,974",0,"10,415"
21VIANET GROUP INC SPONSORED ADR,ADR,90138A103,"3,179","98,420",SH,,SOLE,,"97,297",0,"1,123"
2U INC COM,Common Stock,90214J101,"7,864","205,713",SH,,SOLE,,"120,392",0,"85,321"
3D SYSTEMS CORP,Common Stock,88554D205,"7,359","268,175",SH,,SOLE,,"248,150",0,"20,025"
3M CO,Common Stock,88579Y101,"439,048","2,278,637",SH,,SOLE,,"1,700,263",0,"578,374"
4D Molecular Therapeutics Inc,Common Stock,3.51E+104,"1,365","31,473",SH,,SOLE,,98,0,"31,375"
51 JON INC ADR,ADR,316827104,"2,030","32,423",SH,,SOLE,,"31,371",0,"1,052"
8X8 INC NEW COM,Common Stock,282914100,"7,860","242,285",SH,,SOLE,,"180,055",0,"62,230"
A MARK PRECIOUS METALS COM,Common Stock,00181T107,291,"8,097",SH,,SOLE,,180,0,"7,917"
A10 NETWORKS INC COM,Common Stock,2121101,"1,752","182,348",SH,,SOLE,,"30,496",0,"151,852"
a2 Milk Co Ltd,ADR,2201101,718,"116,891",SH,,SOLE,,"101,744",0,"15,147"
AAC ACOUSTIC TECHNOLOG ADR,ADR,304105,"4,444","880,037",SH,,SOLE,,"813,250",0,"66,787"
AAON INC,Common Stock,360206,"7,696","109,934",SH,,SOLE,,"86,915",0,"23,019"
AAR CORP,Common Stock,361105,"6,964","167,203",SH,,SOLE,,"159,815",0,"7,388"
AARON'S CO INC,Common Stock,00258W108,"3,926","152,877",SH,,SOLE,,"52,592",0,"100,285"
ABB LTD SPONSORED ADR,ADR,375204,"62,653","2,056,211",SH,,SOLE,,"1,574,517",0,"481,694"
ABBOTT LABORATORIES,Common Stock,2824100,"788,221","6,577,274",SH,,SOLE,,"5,537,899",0,"1,039,375"
ABBVIE INC. COM,Common Stock,00287Y109,"803,983","7,429,151",SH,,SOLE,,"5,456,531",0,"1,972,621"
ABCAM PLC-SPON ADR,ADR,380204,"3,696","192,280",SH,,SOLE,,"189,444",0,"2,836"
ABERCROMBIE & FITCH CO,Common Stock,2896207,"24,144","703,698",SH,,SOLE,,"645,994",0,"57,704"
ABERDEEN GLOBAL DYNAMIC DIVIDEND FUND,Closed-End Fund,00302M106,"4,377","392,875",SH,,SOLE,,"171,461",0,"221,414"
ABERDEEN GLOBAL PREMIER PROPERTIES FUND,Closed-End Fund,00302L108,"28,854","4,849,478",SH,,SOLE,,"3,738,362",0,"1,111,116"
ABERDEEN STNDRD PHYSIC GLD,ETF,00326A104,"8,704","530,727",SH,,SOLE,,"530,727",0,0
ABIOMED INC COM,Common Stock,3654100,"44,328","139,076",SH,,SOLE,,"100,936",0,"38,140"
ABM INDUSTRIES INC,Common Stock,957100,"14,033","275,102",SH,,SOLE,,"145,238",0,"129,864"
ABN AMRO BANK NV-UNSP ADR,ADR,00080Q105,"12,504","1,032,541",SH,,SOLE,,"889,072",0,"143,469"
ACACIA RESH CORP ACACIA TCH COM,Common Stock,3881307,"1,041","156,514",SH,,SOLE,,"144,990",0,"11,524"
ACADIA HEALTHCARE CO COM,Common Stock,00404A109,"13,694","239,656",SH,,SOLE,,"170,361",0,"69,295"
ACADIA PHARMACEUTICALS INC COM,Common Stock,4225108,"5,596","216,890",SH,,SOLE,,"134,376",0,"82,514"
ACADIA REALTY TRUST REIT,REIT,4239109,"4,397","231,797",SH,,SOLE,,"208,628",0,"23,169"
ACCELERATE DIAGNOSTICS INC,Common Stock,00430H102,116,"13,978",SH,,SOLE,,"13,978",0,0
ACCELERON PHARMA INC,Common Stock,00434H108,"8,434","62,194",SH,,SOLE,,"57,480",0,"4,714"
ACCENTURE PLC,Common Stock,G1151C101,"639,384","2,314,514",SH,,SOLE,,"1,883,006",0,"431,507"
ACCO BRANDS CORP COM,Common Stock,00081T108,"14,019","1,661,028",SH,,SOLE,,"203,496",0,"1,457,532"
ACCOLADE INC,Common Stock,4.37E+104,249,"5,478",SH,,SOLE,,"4,480",0,998
ACCOR SA SPONSORED ADR,ADR,00435F309,"8,930","1,172,823",SH,,SOLE,,"1,044,963",0,"127,860"
ACCURAY INC,Common Stock,4397105,266,"53,753",SH,,SOLE,,"32,325",0,"21,428"
ACER THERAPEUTICS INC,Common Stock,00444P108,51,"16,514",SH,,SOLE,,"16,445",0,69
ACI WORLDWIDE INC,Common Stock,4498101,"26,502","696,498",SH,,SOLE,,"164,877",0,"531,621"
ACLARIS THERAPEUTICS I COM,Common Stock,00461U105,"2,124","84,276",SH,,SOLE,,"4,545",0,"79,731"
ACRES Commercial Realty Corp,REIT,00489Q102,192,"13,135",SH,,SOLE,,"13,135",0,0
ACS ACTIVIDADES CONS-UNS ADR,ADR,00089H106,"12,716","1,941,313",SH,,SOLE,,"1,773,290",0,"168,024"
ACTIVISION BLIZZARD INC,Common Stock,00507V109,"259,616","2,791,569",SH,,SOLE,,"2,145,145",0,"646,425"
ACTUA CORP,Common Stock,5094107,5,"107,574",SH,,SOLE,,"2,519",0,"105,055"
ACUITY BRANDS INC,Common Stock,00508Y102,"12,054","73,052",SH,,SOLE,,"64,533",0,"8,519"
ACUSHNET HOLDINGS CORP,Common Stock,5098108,"1,712","41,427",SH,,SOLE,,"35,629",0,"5,798"
ADAMS DIVERSIFIED EQUITY FUND,Closed-End Fund,6212104,"51,670","2,829,707",SH,,SOLE,,"1,739,041",0,"1,090,666"
ADAPTHEALTH CORP,Common Stock,00653Q102,"3,188","86,723",SH,,SOLE,,"17,139",0,"69,584"
ADAPTIVE BIOTECHNOLOGIES,Common Stock,00650F109,"3,400","84,459",SH,,SOLE,,"51,273",0,"33,186"
ADDUS HOMECARE CORP COM,Common Stock,6739106,"3,529","33,743",SH,,SOLE,,"28,440",0,"5,303"
ADECCO SA - REG - UNSPON ADR,ADR,6754204,"20,863","621,285",SH,,SOLE,,"565,391",0,"55,894"
ADECOAGRO SA,Common Stock,L00849106,212,"26,912",SH,,SOLE,,"26,912",0,0
ADIDAS-SALOMON AG-SPON ADR,ADR,00687A107,"66,159","421,367",SH,,SOLE,,"366,913",0,"54,454"
ADIENT PLC,Common Stock,G0084W101,"17,951","406,138",SH,,SOLE,,"185,734",0,"220,404"
ADMA BIOLOGICS INC,Common Stock,899104,60,"34,058",SH,,SOLE,,"31,930",0,"2,128"
ADMIRAL GROUP ADR,ADR,7192107,"3,729","91,315",SH,,SOLE,,"83,667",0,"7,648"
ADOBE INC,Common Stock,00724F101,"974,091","2,049,122",SH,,SOLE,,"1,524,681",0,"524,441"
ADTALEM GLOBAL EDUCATION INC,Common Stock,00737L103,"3,596","90,940",SH,,SOLE,,"67,114",0,"23,826"
ADTRAN INC,Common Stock,00738A106,"1,992","119,416",SH,,SOLE,,"110,284",0,"9,132"
ADVANCE AUTO PARTS INC,Common Stock,00751Y106,"49,910","272,003",SH,,SOLE,,"200,456",0,"71,547"
ADVANCED DRAINAGE SYSTEMS INC,Common Stock,00790R104,"24,180","233,868",SH,,SOLE,,"191,987",0,"41,881"
ADVANCED EMISSIONS SOLUTIONS I,Common Stock,00770C101,"1,358","246,893",SH,,SOLE,,"233,828",0,"13,065"
ADVANCED ENERGY INDUSTRIES INC,Common Stock,7973100,"12,507","114,561",SH,,SOLE,,"108,232",0,"6,329"
ADVANCED MICRO DEVICES INC,Common Stock,7903107,"296,474","3,776,737",SH,,SOLE,,"3,171,004",0,"605,733"
ADVANSIX INC,Common Stock,00773T101,"1,493","55,653",SH,,SOLE,,"50,541",0,"5,112"
ADVANTEST CORP SPONSORED ADR,ADR,00762U200,"6,584","73,972",SH,,SOLE,,"65,985",0,"7,987"
ADVENT CONVERTIBLE AND INCOME,Closed-End Fund,00764C109,"72,943","4,128,044",SH,,SOLE,,"3,242,742",0,"885,301"
ADVERUM BIOTECHNOLOGIES INC,Common Stock,00773U108,423,"42,878",SH,,SOLE,,"37,275",0,"5,603"
ADYEN NV,Common Stock,N3501V104,"2,466","1,094",SH,,SOLE,,"1,094",0,0
ADYEN NV-UNSPON ADR,ADR,00783V104,"37,592","840,424",SH,,SOLE,,"745,281",0,"95,143"
AECOM,Common Stock,00766T100,"19,116","298,173",SH,,SOLE,,"259,205",0,"38,968"
AEGION CORP,Common Stock,00770F104,"1,047","36,432",SH,,SOLE,,"33,375",0,"3,057"
AEGLEA BIOTHERAPEUTICS INC,Common Stock,00773J103,211,"26,590",SH,,SOLE,,"24,864",0,"1,726"
AEGON N V ORD AMER REG,NY Reg Shrs,7924103,"20,268","4,285,033",SH,,SOLE,,"3,896,903",0,"388,130"
AEON CO LTD ADR,ADR,7627102,"5,170","166,314",SH,,SOLE,,"142,496",0,"23,818"
AERCAP HOLDINGS NV SHS,Common Stock,N00985106,"26,530","451,648",SH,,SOLE,,"274,272",0,"177,376"
AERIE PHARMACEUTICALS INC,Common Stock,00771V108,"1,999","111,876",SH,,SOLE,,"31,510",0,"80,366"
AEROJET ROCKETDYNE HOLDINGS INC,Common Stock,7800105,"5,623","119,746",SH,,SOLE,,"111,532",0,"8,214"
AEROVIRONMENT INC,Common Stock,8073108,"7,769","66,943",SH,,SOLE,,"49,963",0,"16,980"
AES CORP/THE,Common Stock,00130H105,"79,762","2,975,102",SH,,SOLE,,"2,031,293",0,"943,808"
AFFILIATED MANAGERS GROUP,Common Stock,8252108,"31,080","208,547",SH,,SOLE,,"190,056",0,"18,491"
AFFIMED N V COM,Common Stock,N01045108,"1,622","205,009",SH,,SOLE,,"108,247",0,"96,762"
AFLAC INC,Common Stock,1055102,"140,334","2,741,969",SH,,SOLE,,"1,899,152",0,"842,817"
Afterpay Ltd,ADR,00832J102,"9,031","116,083",SH,,SOLE,,"105,337",0,"10,746"
AFYA LTD-CLASS A,Common Stock,G01125106,538,"28,918",SH,,SOLE,,"28,918",0,0
AG MORTGAGE INVESTMENT TRUST I,REIT,1228105,337,"83,607",SH,,SOLE,,"83,170",0,437
AGC INC ADR,ADR,00109C103,"12,090","1,439,242",SH,,SOLE,,"1,313,501",0,"125,741"
AGCO CORP,Common Stock,1084102,"59,165","411,868",SH,,SOLE,,"146,424",0,"265,445"
AGEAS ADR,ADR,00844W208,"29,320","480,966",SH,,SOLE,,"444,898",0,"36,068"
AGENUS INC,Common Stock,00847G705,233,"85,600",SH,,SOLE,,"84,477",0,"1,123"
AGILENT TECHNOLOGIES INC,Common Stock,00846U101,"143,079","1,125,367",SH,,SOLE,,"991,709",0,"133,658"
AGILYSYS INC,Common Stock,00847J105,"3,033","63,240",SH,,SOLE,,"42,797",0,"20,443"
AGIOS PHARMACEUTICALS INC,Common Stock,00847X104,"7,165","138,751",SH,,SOLE,,"94,399",0,"44,352"
