NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
10X GENOMICS INC-CLASS A,Common Stock,88025U109,"10,755","54,925",SH,,SOLE,,"48,229",0,"6,696"
1-800-FLOWERS.COM INC,Common Stock,68243Q106,"3,682","115,533",SH,,SOLE,,"78,515",0,"37,018"
1Life Healthcare Inc,Common Stock,68269G107,"1,638","49,545",SH,,SOLE,,"48,732",0,813
1SPC PHARMACEUTICAL-UNSPOADR,ADR,12591J207,424,"73,764",SH,,SOLE,,"73,764",0,0
1ST BUS FINL SVCS INC COM,Common Stock,319390100,775,"28,645",SH,,SOLE,,"3,850",0,"24,795"
1ST SOURCE CORP,Common Stock,336901103,"1,198","25,784",SH,,SOLE,,"25,306",0,478
21VIANET GROUP INC SPONSORED ADR,ADR,90138A103,"2,541","110,710",SH,,SOLE,,"108,615",0,"2,095"
22ND CENTY GROUP INC COM,Common Stock,90137F103,47,"10,182",SH,,SOLE,,"10,182",0,0
2U INC COM,Common Stock,90214J101,"8,897","213,519",SH,,SOLE,,"117,392",0,"96,127"
360 DIGITECH INC,ADR,88557W101,950,"22,709",SH,,SOLE,,"20,779",0,"1,930"
3D SYSTEMS CORP,Common Stock,88554D205,"12,464","311,845",SH,,SOLE,,"290,442",0,"21,403"
3M CO,Common Stock,88579Y101,"472,511","2,378,850",SH,,SOLE,,"1,748,296",0,"630,554"
4D Molecular Therapeutics Inc,Common Stock,3.51E+104,774,"32,158",SH,,SOLE,,76,0,"32,082"
51 JON INC ADR,ADR,316827104,"3,912","50,301",SH,,SOLE,,"48,402",0,"1,899"
8X8 INC NEW COM,Common Stock,282914100,"6,300","226,955",SH,,SOLE,,"169,697",0,"57,258"
A MARK PRECIOUS METALS COM,Common Stock,00181T107,377,"8,108",SH,,SOLE,,191,0,"7,917"
A10 NETWORKS INC COM,Common Stock,2121101,"1,959","173,936",SH,,SOLE,,"27,218",0,"146,718"
a2 Milk Co Ltd,ADR,2201101,661,"144,855",SH,,SOLE,,"98,982",0,"45,873"
AAC ACOUSTIC TECHNOLOG ADR,ADR,304105,"8,596","1,161,558",SH,,SOLE,,"1,078,682",0,"82,876"
AAON INC,Common Stock,360206,"7,057","112,744",SH,,SOLE,,"97,468",0,"15,276"
AAR CORP,Common Stock,361105,"5,815","150,053",SH,,SOLE,,"142,490",0,"7,563"
AARON'S CO INC,Common Stock,00258W108,"6,124","191,420",SH,,SOLE,,"63,451",0,"127,969"
ABB LTD SPONSORED ADR,ADR,375204,"72,323","2,127,788",SH,,SOLE,,"1,698,926",0,"428,862"
ABBOTT LABORATORIES,Common Stock,2824100,"755,402","6,516,018",SH,,SOLE,,"5,492,359",0,"1,023,659"
ABBVIE INC. COM,Common Stock,00287Y109,"817,658","7,259,034",SH,,SOLE,,"5,484,393",0,"1,774,641"
ABCAM PLC-SPON ADR,ADR,380204,"3,977","208,876",SH,,SOLE,,"206,803",0,"2,073"
ABCL - AbCellera Biologics Inc,Common Stock,00288U106,"33,000","1,500,000",SH,,SOLE,,0,0,"1,500,000"
ABERCROMBIE & FITCH CO,Common Stock,2896207,"24,605","529,935",SH,,SOLE,,"476,360",0,"53,575"
ABERDEEN GLOBAL DYNAMIC DIVIDEND FUND,Closed-End Fund,00302M106,"3,329","277,441",SH,,SOLE,,"33,320",0,"244,121"
ABERDEEN GLOBAL PREMIER PROPERTIES FUND,Closed-End Fund,00302L108,"7,520","1,182,369",SH,,SOLE,,"704,315",0,"478,054"
ABERDEEN STNDRD PHYSIC GLD,ETF,00326A104,"10,752","632,856",SH,,SOLE,,"632,856",0,0
ABIOMED INC COM,Common Stock,3654100,"43,582","139,636",SH,,SOLE,,"103,335",0,"36,301"
ABM INDUSTRIES INC,Common Stock,957100,"12,317","277,721",SH,,SOLE,,"141,355",0,"136,366"
ABN AMRO BANK NV-UNSP ADR,ADR,00080Q105,"12,377","1,028,828",SH,,SOLE,,"882,248",0,"146,580"
ACACIA RESH CORP ACACIA TCH COM,Common Stock,3881307,"1,080","159,697",SH,,SOLE,,"147,728",0,"11,969"
ACADEMY SPORTS & OUTDOORS IN,Common Stock,00402L107,"2,736","66,339",SH,,SOLE,,"7,146",0,"59,193"
ACADIA HEALTHCARE CO COM,Common Stock,00404A109,"14,825","236,254",SH,,SOLE,,"159,562",0,"76,692"
ACADIA PHARMACEUTICALS INC COM,Common Stock,4225108,"7,763","318,306",SH,,SOLE,,"300,995",0,"17,311"
ACADIA REALTY TRUST REIT,REIT,4239109,"5,454","248,351",SH,,SOLE,,"221,831",0,"26,520"
ACCELERATE DIAGNOSTICS INC,Common Stock,00430H102,444,"55,071",SH,,SOLE,,"53,576",0,"1,495"
ACCELERON PHARMA INC,Common Stock,00434H108,"7,628","60,784",SH,,SOLE,,"55,863",0,"4,921"
ACCENTURE PLC,Common Stock,G1151C101,"690,390","2,341,971",SH,,SOLE,,"1,949,052",0,"392,920"
ACCO BRANDS CORP COM,Common Stock,00081T108,"18,713","2,168,419",SH,,SOLE,,"223,941",0,"1,944,478"
ACCOLADE INC,Common Stock,4.37E+104,527,"9,710",SH,,SOLE,,"8,145",0,"1,565"
ACCOR SA SPONSORED ADR,ADR,00435F309,"9,598","1,279,776",SH,,SOLE,,"1,130,285",0,"149,491"
ACCURAY INC,Common Stock,4397105,209,"46,269",SH,,SOLE,,"26,463",0,"19,806"
ACER THERAPEUTICS INC,Common Stock,00444P108,40,"14,134",SH,,SOLE,,"14,065",0,69
ACI WORLDWIDE INC,Common Stock,4498101,"24,387","656,619",SH,,SOLE,,"160,139",0,"496,480"
ACM RESEARCH INC - CLASS A,Common Stock,00108J109,211,"2,067",SH,,SOLE,,"2,067",0,0
ACRES Commercial Realty Corp,REIT,00489Q102,211,"13,135",SH,,SOLE,,"13,135",0,0
ACS ACTIVIDADES CONS-UNS ADR,ADR,00089H106,"11,000","2,069,529",SH,,SOLE,,"1,889,062",0,"180,467"
ACTIVISION BLIZZARD INC,Common Stock,00507V109,"255,392","2,675,940",SH,,SOLE,,"2,148,870",0,"527,070"
ACTUA CORP,Common Stock,5094107,5,"107,924",SH,,SOLE,,"2,869",0,"105,055"
ACUITY BRANDS INC,Common Stock,00508Y102,"15,017","80,293",SH,,SOLE,,"65,161",0,"15,132"
ACUSHNET HOLDINGS CORP,Common Stock,5098108,"1,656","33,527",SH,,SOLE,,"27,836",0,"5,691"
Acutus Medical Inc,Common Stock,5111109,864,"50,868",SH,,SOLE,,"50,272",0,596
ACV Auctions Inc,Common Stock,00091G104,434,"16,943",SH,,SOLE,,0,0,"16,943"
ADAMS DIVERSIFIED EQUITY FUND,Closed-End Fund,6212104,"29,584","1,496,423",SH,,SOLE,,"468,903",0,"1,027,520"
ADAPTHEALTH CORP,Common Stock,00653Q102,"1,112","40,567",SH,,SOLE,,"18,340",0,"22,227"
ADAPTIVE BIOTECHNOLOGIES,Common Stock,00650F109,"2,920","71,471",SH,,SOLE,,"52,508",0,"18,963"
ADDUS HOMECARE CORP COM,Common Stock,6739106,"2,849","32,660",SH,,SOLE,,"30,898",0,"1,762"
ADECCO SA - REG - UNSPON ADR,ADR,6754204,"22,459","660,945",SH,,SOLE,,"600,686",0,"60,259"
ADECOAGRO SA,Common Stock,L00849106,763,"76,020",SH,,SOLE,,"74,310",0,"1,710"
ADIDAS-SALOMON AG-SPON ADR,ADR,00687A107,"88,868","475,790",SH,,SOLE,,"418,926",0,"56,864"
ADIENT PLC,Common Stock,G0084W101,"23,219","513,687",SH,,SOLE,,"220,541",0,"293,146"
ADMA BIOLOGICS INC,Common Stock,899104,237,"147,855",SH,,SOLE,,"140,166",0,"7,689"
ADMIRAL GROUP ADR,ADR,7192107,"4,186","89,487",SH,,SOLE,,"81,981",0,"7,506"
ADOBE INC,Common Stock,00724F101,"1,251,574","2,137,106",SH,,SOLE,,"1,599,039",0,"538,066"
ADTALEM GLOBAL EDUCATION INC,Common Stock,00737L103,"2,394","67,161",SH,,SOLE,,"62,675",0,"4,486"
ADTRAN INC,Common Stock,00738A106,"2,815","136,332",SH,,SOLE,,"126,828",0,"9,504"
ADVANCE AUTO PARTS INC,Common Stock,00751Y106,"60,573","295,278",SH,,SOLE,,"219,413",0,"75,864"
ADVANCED DRAINAGE SYSTEMS INC,Common Stock,00790R104,"27,836","238,790",SH,,SOLE,,"203,862",0,"34,927"
ADVANCED EMISSIONS SOLUTIONS I,Common Stock,00770C101,"1,570","211,858",SH,,SOLE,,"200,646",0,"11,212"
ADVANCED ENERGY INDUSTRIES INC,Common Stock,7973100,"13,512","119,881",SH,,SOLE,,"112,874",0,"7,007"
ADVANCED MICRO DEVICES INC,Common Stock,7903107,"360,100","3,833,710",SH,,SOLE,,"3,362,647",0,"471,063"
ADVANSIX INC,Common Stock,00773T101,"1,973","66,082",SH,,SOLE,,"56,492",0,"9,590"
ADVANTEST CORP SPONSORED ADR,ADR,00762U200,"7,495","83,691",SH,,SOLE,,"74,530",0,"9,161"
ADVENT CONVERTIBLE AND INCOME,Closed-End Fund,00764C109,"29,552","1,533,557",SH,,SOLE,,"731,867",0,"801,690"
ADVERUM BIOTECHNOLOGIES INC,Common Stock,00773U108,501,"143,051",SH,,SOLE,,"136,385",0,"6,666"
ADYEN NV,Common Stock,N3501V104,"2,631","1,066",SH,,SOLE,,"1,066",0,0
ADYEN NV-UNSPON ADR,ADR,00783V104,"46,191","939,979",SH,,SOLE,,"828,872",0,"111,107"
AECOM,Common Stock,00766T100,"19,787","312,491",SH,,SOLE,,"271,577",0,"40,914"
AEGLEA BIOTHERAPEUTICS INC,Common Stock,00773J103,231,"33,148",SH,,SOLE,,"31,496",0,"1,652"
AEGON N V ORD AMER REG,NY Reg Shrs,7924103,"18,332","4,438,764",SH,,SOLE,,"4,044,128",0,"394,636"
AENA SME SA-ADR,ADR,00774W103,"10,106","611,753",SH,,SOLE,,"193,522",0,"418,231"
AEON CO LTD ADR,ADR,7627102,"4,416","163,923",SH,,SOLE,,"142,415",0,"21,507"
AERCAP HOLDINGS NV SHS,Common Stock,N00985106,"22,443","438,263",SH,,SOLE,,"261,282",0,"176,981"
AERIE PHARMACEUTICALS INC,Common Stock,00771V108,"1,804","112,664",SH,,SOLE,,"31,573",0,"81,091"
AEROJET ROCKETDYNE HOLDINGS INC,Common Stock,7800105,"6,408","132,688",SH,,SOLE,,"123,979",0,"8,709"
AEROVIRONMENT INC,Common Stock,8073108,"6,316","63,066",SH,,SOLE,,"52,739",0,"10,327"
AES CORP/THE,Common Stock,00130H105,"78,394","3,007,060",SH,,SOLE,,"2,077,983",0,"929,077"
AFFILIATED MANAGERS GROUP,Common Stock,8252108,"32,546","211,051",SH,,SOLE,,"192,509",0,"18,542"
